No	Eng	Kor
1	We watched a documentary about how honeybees communicate through special dance movements. 	 꿀벌들이 특별한 춤 동작을 통해 어떻게 의사소통하는지에 관한 다큐멘터리를 보았어.
2	I always feel relaxed when I listen to acoustic guitar music in the evening. 	 저녁에 통기타 음악을 들을 때면 항상 마음이 편안해져.
3	Let's make sure our backpack zippers are fully closed before boarding the bus. 	 버스에 타기 전에 가방 지퍼가 완전히 닫혔는지 확인하자.
4	Which channel is showing the animated movie right now? 	 지금 어느 채널에서 애니메이션 영화를 방영하고 있어?
5	We should support local community markets by purchasing organic vegetables. 	 우리는 유기농 채소를 구매함으로써 지역 전통시장을 지원해야 해.
6	We learned about the importance of protecting endangered ocean creatures. 	 우리는 멸종 위기에 처한 해양 생물들을 보호하는 중요성에 대해 배웠어.
7	Can you help me clean and organize the art cabinet in the corner? 	 구석에 있는 미술용품 수납장을 청소하고 정리하는 것 좀 도와줄래?
8	I felt very proud of myself after finishing the five-kilometer charity run. 	 5킬로미터 자선 달리기 경주를 완주하고 나니 내 자신이 정말 자랑스러웠어.
9	Don't forget to unplug the electronic chargers before leaving for the weekend. 	 주말여행을 떠나기 전에 전자기기 충전기 플러그를 뽑는 거 잊지 마.
10	My hands are sticky because I ate a melted ice pop. 	 녹은 아이스바를 먹었더니 손이 끈적거려.
11	I made a refreshing lemonade by mixing fresh lemon juice with cold water. 	 생레몬즙을 시원한 물과 섞어서 상큼한 레모네이드를 만들었어.
12	Let's write down three things we are grateful for at the end of every day. 	 매일 하루가 끝날 때마다 감사한 일 세 가지를 적어보자.
13	Let's check the weather forecast to see if we should carry sunglasses today. 	 오늘 선글라스를 챙겨야 할지 일기예보를 확인해 보자.
14	I was so pleased to receive helpful feedback on my science project presentation. 	 과학 과제 발표에 대해 유익한 피드백을 받아서 정말 기뻤어.
15	I'm trying to save up money to buy a new pair of inline skates. 	 새 인라인스케이트를 사려고 돈을 모으는 중이야.
16	We decided to create a handwritten greeting card for our homeroom teacher. 	 우리는 담임선생님을 위해 손글씨로 쓴 축하 카드를 만들기로 했어.
17	It is important to encourage your friends when they feel nervous about a speech. 	 친구가 발표를 앞두고 긴장할 때 용기를 북돋아 주는 것은 중요해.
18	Let's take a group photo while everyone is smiling brightly. 	 다들 환하게 웃고 있을 때 단체 사진 한 장 찍자.
19	Don't touch wild insects or strange plants that you encounter in the forest. 	 숲에서 마주치는 야생 곤충이나 낯선 식물을 함부로 만지지 마.
20	Let's research different marine animals and create an informative science poster. 	 다양한 해양 동물을 조사해서 유익한 과학 포스터를 만들어보자.
21	I am determined to read at least fifteen pages of a historical novel every night. 	 매일 밤 역사 소설을 적어도 15쪽씩 읽기로 다짐했어.
22	We observed how plants absorb water through their roots under a microscope. 	 우리는 현미경을 통해 식물이 뿌리로 물을 흡수하는 과정을 관찰했어.
23	Do you want to build a giant Lego castle together on the floor? 	 방바닥에서 거대한 레고 성 같이 만들래?
24	I'm thinking about getting a haircut this coming Saturday afternoon. 	 이번 주 토요일 오후에 머리를 자를까 생각 중이야.
25	Always dry your hands thoroughly with a clean towel after washing them. 	 손을 씻은 후에는 항상 깨끗한 수건으로 물기를 완전히 말려야 해.
